Session,Borough,Swimming Pool,Class Type,StartTime,Total Registration,Total Attendance,ClassName
1,,Astoria Pool,Level 1,07/15/2024 02:00:00 PM,,11,Session 1: Astoria Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/30/2024 10:00:00 PM,19,15,FMAC: Adult Learn to Swim (Level 1)
3,X,Crotona Pool,Tot,08/14/2023 04:00:00 PM,20,15,Session 3: Crotona Pool - Tots Learn to Swim (Class B)
,M,Asser Levy Recreation Center,Seniors,10/12/2023 06:30:00 PM,3,1,Asser Levy Learn to Swim: Seniors
2,,Hamilton Fish Pool,Level 1,07/24/2024 05:00:00 PM,,16,Session 2: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class A)
,,Offsite Locations,,04/12/2023 02:00:00 PM,30,12,Holiday Learn to Swim Evander Childs Educational Campus Class A
,B,Metropolitan Pool & Recreation Center,,12/27/2021 09:00:00 PM,15,11,Metropolitan Learn to Swim: Children
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,09/02/2023 02:00:00 PM,15,10,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Saturdays,10am)"
,B,St. John's Recreation Center,Tot,04/09/2022 04:00:00 PM,10,10,St. John's Learn to Swim: Tots
,B,Metropolitan Pool & Recreation Center,,01/12/2022 09:00:00 PM,11,11,Metropolitan Learn to Swim: Children
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,09/11/2023 10:00:00 PM,18,10,Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Mondays 6pm)
,X,St. Mary's Recreation Center,Level 2,06/11/2022 02:30:00 PM,18,18,St. Mary's Learn to Swim Level 2
,M,Chelsea Recreation Center,Adult,07/05/2022 03:00:00 PM,29,8,Adult Learn to Swim
,M,Asser Levy Recreation Center,Level 2,10/28/2023 01:30:00 PM,16,9,Asser Levy Saturday Children Learn to Swim Level 2
2,B,Red Hook Pool,Tot,08/06/2024 03:00:00 PM,,8,Session 2: Red Hook Pool - Tots Learn to Swim (Class A)
1,R,Lyons Pool,Level 2,07/11/2024 04:00:00 PM,40,15,Session 1: Lyons Pool - Children's Learn to Swim Level 2 (Class A)
3,X,Crotona Pool,Tot,08/07/2023 04:00:00 PM,20,8,Session 3: Crotona Pool - Tots Learn to Swim (Class B)
,B,St. John's Recreation Center,,04/23/2024 03:00:00 PM,30,16,Holiday Learn to Swim St. John's Class A
,M,Gertrude Ederle Recreation Center,,02/20/2024 04:00:00 PM,23,19,Holiday Learn to Swim Gertrude Ederle Class A
,B,Metropolitan Pool & Recreation Center,,03/22/2023 08:00:00 PM,27,16,Metropolitan Learn to Swim: Children - Wednesdays - ADMIN ONLY
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,05/28/2024 11:00:00 PM,15,3,"Flushing Meadows Aquatics Center- Children Learn to Swim Level 2 - Tuesdays, 7pm"
,M,Gertrude Ederle Recreation Center,Tot,12/09/2023 04:30:00 PM,16,5,Gertrude Ederle Learn to Swim: Tots - Saturdays
,R,Lyons Pool,Level 4,08/28/2024 05:00:00 PM,,10,Advanced: Lyons Pool - Children's Learn to Swim Level 4
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,10/23/2024 05:00:00 PM,22,20,FMAC: Senior Learn to Swim (Level 2)
,M,Constance Baker Motley Recreation Center,Level 1,10/26/2024 02:30:00 PM,27,10,Constance Baker Motley: Children's Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,05/29/2024 10:00:00 PM,15,2,Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Wednesdays 6pm
,M,Asser Levy Recreation Center,,06/06/2024 05:00:00 PM,18,8,Asser Levy Senior Learn to Swim: Thursdays
3,B,Red Hook Pool,Tot,08/15/2024 03:00:00 PM,26,12,Session 3: Red Hook Pool - Tots Learn to Swim (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/09/2024 10:00:00 PM,19,16,FMAC: Adult Learn to Swim (Level 1)
,M,Gertrude Ederle Recreation Center,Level 1,11/25/2023 03:30:00 PM,17,7,Gertrude Ederle Saturday Learn to Swim Level 1
,B,St. John's Recreation Center,,06/10/2024 08:00:00 PM,31,1,St. John's Learn to Swim: Children - Mondays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,10/26/2024 06:00:00 PM,7,2,FMAC: Children's Learn to Swim (Level 5)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/13/2024 06:00:00 PM,16,5,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,10/22/2024 10:00:00 PM,13,10,FMAC: Children's Learn to Swim (Level 2)
,Q,Roy Wilkins Recreation Center,Level 1,08/13/2024 04:00:00 PM,31,23,Roy Wilkins Recreation Center: Children's Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,02/17/2024 07:00:00 PM,5,4,Learn to Swim: Children ADV. Swimmer Level 5 - Saturdays 2pm
,B,Red Hook Pool,Tot,07/18/2023 04:00:00 PM,20,5,Session l Tots Learn to Swim Red Hook Pool Class B
,B,Metropolitan Pool & Recreation Center,,12/29/2023 04:00:00 PM,33,11,Holiday Learn to Swim Metropolitan Class B
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,08/17/2023 05:00:00 PM,5,5,Flushing Meadows Aquatics Center- Senior Learn to Swim Level 1 Thursdays  1pm
,M,Gertrude Ederle Recreation Center,Tot,02/17/2024 04:30:00 PM,24,9,Gertrude Ederle Learn to Swim: Tots - Saturday
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,08/05/2024 04:00:00 PM,3,2,FMAC: Adult Learn to Swim (Level 1)
,B,Metropolitan Pool & Recreation Center,Tot,01/22/2022 05:00:00 PM,8,8,Metropolitan Learn to Swim: Tots
,B,St. John's Recreation Center,Tot,02/05/2022 04:45:00 PM,11,4,St. John's Learn to Swim: Tots
1,Q,Liberty Pool,Level 2,07/14/2023 05:00:00 PM,18,8,Session I Children Learn to Swim Liberty Pool Level 2 Class A
,B,St. John's Recreation Center,Level 1,08/01/2023 07:00:00 PM,33,22,St John's Recreation Center - Children's Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,03/13/2024 08:00:00 PM,4,4,"Learn to Swim: Children Intermediate Level 4 - Wednesdays, 4pm"
2,Q,Fisher Pool,Level 1,07/31/2024 05:00:00 PM,19,12,Session 2: Fisher Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Fisher Pool,Level 1A,07/31/2023 05:00:00 PM,16,13,Session ll Children Learn to Swim Fisher Pool Level 1A
,M,Asser Levy Recreation Center,,04/03/2024 08:00:00 PM,21,10,Asser Levy Learn to Swim: Children - Wednesdays
2,,Hamilton Fish Pool,Level 1,08/07/2024 06:00:00 PM,,12,Session 2: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,10/25/2023 08:00:00 PM,6,6,"Learn to Swim: Children Intermediate Level 3 - Wednesdays, 4pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,06/03/2023 02:00:00 PM,9,5,"Learn to Swim: Children Beginner Level 1 - Saturdays, 10am"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,12/09/2023 02:00:00 PM,9,2,Flushing Meadows Aquatics Center-Children's Learn to Swim Level 2 (Saturdays 9am)
,B,St. John's Recreation Center,Level 1,11/18/2023 04:30:00 PM,24,24,St. Johns Saturday Children Learn to Swim Level 1
,Q,Roy Wilkins Recreation Center,,10/18/2023 08:00:00 PM,14,4,Roy Wilkins' Learn To Swim: Children - Wednesday
1,,Hamilton Fish Pool,,07/18/2023 06:00:00 PM,48,13,Session I Children Learn to Swim Hamilton Fish Pool Level IB
,M,Asser Levy Recreation Center,,02/07/2024 09:00:00 PM,24,10,Asser Levy Learn to Swim: Children - Wednesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,05/27/2023 06:00:00 PM,2,2,"Learn to Swim: Children ADV. Swimmer Level 5 - Saturdays, 2pm"
,,Astoria Pool,Level 3,08/28/2024 04:00:00 PM,,25,Advanced: Astoria Pool - Children's Learn to Swim Level 3 (Class B)
,M,Constance Baker Motley Recreation Center,Level 2,03/09/2024 02:30:00 PM,13,9,Constance Baker Motley Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,03/30/2024 02:00:00 PM,9,1,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Saturdays, 10am"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,09/04/2023 10:00:00 PM,18,10,Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Mondays 6pm)
,M,Constance Baker Motley Recreation Center,Adult,02/24/2024 05:00:00 PM,21,5,Constance Baker Motley Learn to Swim: Adults - Saturday
2,B,Red Hook Pool,Level 1,08/07/2024 05:00:00 PM,,11,Session 2: Red Hook Pool - Children's Learn to Swim Level 1 (Class A)
,M,Gertrude Ederle Recreation Center,Level 1,03/11/2023 03:30:00 PM,8,3,Gertrude Ederle Saturday Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,01/27/2024 02:00:00 PM,9,7,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 3 - Saturdays, 9am"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,11/12/2024 09:00:00 PM,19,13,FMAC: Children's Learn to Swim (Level 4)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,01/18/2024 11:00:00 PM,10,9,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Thursdays, 6pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,05/22/2024 05:00:00 PM,15,7,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Wednesdays
,M,Chelsea Recreation Center,,12/29/2023 04:00:00 PM,31,15,Holiday Learn to Swim Chelsea Class A
,B,St. John's Recreation Center,Level 2,02/05/2022 03:00:00 PM,14,7,St. John's Learn to Swim: Children Level 2
,M,Gertrude Ederle Recreation Center,Seniors,04/11/2024 05:00:00 PM,16,7,Gertrude Ederle Learn to Swim: Seniors - Thursday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,10/26/2023 08:00:00 PM,4,4,Learn to Swim: Children ADV. Swimmer Level 5 - Thursdays 4pm
,,Offsite Locations,,04/13/2023 02:00:00 PM,30,8,Holiday Learn to Swim Curtis High School Class A
,B,Metropolitan Pool & Recreation Center,Level 2,03/02/2024 03:00:00 PM,27,14,Metropolitan Learn to Swim: Children Level 2
,B,Metropolitan Pool & Recreation Center,,04/25/2022 08:00:00 PM,25,21,Metropolitan Learn to Swim: Children (Monday)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 5,09/14/2023 08:00:00 PM,1,1,Learn to Swim: Children ADV. Swimmer Level 5 -Thursdays 4pm
,M,Chelsea Recreation Center,Level 1,10/26/2024 02:30:00 PM,27,21,Chelsea: Children's Learn to Swim (Level 1)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,10/22/2024 05:00:00 PM,24,12,FMAC: Adult Learn to Swim (Level 1)
,B,Metropolitan Pool & Recreation Center,Level 2,06/22/2024 02:00:00 PM,33,9,Metropolitan Learn to Swim: Children Level 2
,Q,Fisher Pool,Level 2A,07/17/2023 03:00:00 PM,16,10,Session l Children Learn to Swim Fisher Pool Level 2A
,M,Chelsea Recreation Center,,12/27/2022 03:00:00 PM,6,2,Holiday Learn to Swim Chelsea Class A
,Q,Flushing Meadows Corona Park Aquatics Center,Level 4,05/30/2024 08:00:00 PM,17,9,Flushing Meadows Aquatic Center Children Learn to Swim:  Swimmer Level 4 - Thursdays 4pm
1,R,Lyons Pool,Level 1,07/19/2024 06:00:00 PM,23,15,Session 1: Lyons Pool - Children's Learn to Swim Level 1 (Class B)
1,X,Crotona Pool,Level 1A,07/10/2023 05:00:00 PM,48,14,Session I Children Learn to Swim Crotona Pool Level 1A
1,,Hamilton Fish Pool,,07/20/2023 06:00:00 PM,48,21,Session I Children Learn to Swim Hamilton Fish Pool Level IB
,Q,Roy Wilkins Recreation Center,Level 1,02/10/2024 04:30:00 PM,26,9,Roy Wilkins Recreation Center - Children Learn to Swim Level 1 - Saturday
3,Q,Liberty Pool,Level 1,08/17/2023 06:00:00 PM,20,6,Session 3: Liberty Pool - Children's Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,09/03/2024 09:00:00 PM,,17,FMAC: Children's Learn to Swim (Level 3)
,B,St. John's Recreation Center,Level 2,11/23/2024 03:30:00 PM,19,7,St. John's: Children's Learn to Swim (Level 2)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,11/21/2024 09:00:00 PM,24,15,FMAC: Children's Learn to Swim (Level 3)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,02/10/2024 06:15:00 PM,17,11,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,10/18/2023 08:00:00 PM,6,6,"Learn to Swim: Children Intermediate Level 3 - Wednesdays, 4pm"
,M,Chelsea Recreation Center,,11/11/2024 07:30:00 PM,,2,Chelsea: Senior Learn to Swim
,Q,Fisher Pool,Level 1A,08/03/2023 05:00:00 PM,16,13,Session ll Children Learn to Swim Fisher Pool Level 1A
3,B,Red Hook Pool,Tot,08/08/2023 03:00:00 PM,20,10,Session 3: Red Hook Pool - Tots Learn to Swim (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Tot,07/29/2023 04:00:00 PM,13,3,"Flushing Meadows Aquatics Center - Parent and Tot Learn to Swim (Saturdays, 12pm)"
,M,Asser Levy Recreation Center,Level 2,01/27/2024 02:30:00 PM,14,7,Asser Levy Saturday Children Learn to Swim Level 2
,M,Gertrude Ederle Recreation Center,Tot,03/16/2024 03:30:00 PM,24,5,Gertrude Ederle Learn to Swim: Tots - Saturday
,M,Chelsea Recreation Center,Adult,07/07/2022 03:00:00 PM,34,25,Adult Learn to Swim
,M,Constance Baker Motley Recreation Center,Level 1,02/17/2024 03:30:00 PM,20,6,Constance Baker Motley Saturday Children Learn to Swim Level 1
3,,Astoria Pool,Level 1,08/16/2024 05:00:00 PM,,30,Session 3: Astoria Pool - Children's Learn to Swim Level 1 (Class A)
1,B,Red Hook Pool,Level 1,07/18/2024 05:00:00 PM,,22,Session 1: Red Hook Pool - Children's Learn to Swim  Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,04/04/2023 10:00:00 PM,11,10,"Learn to Swim: Children ADV. Beginner Level 2 - Tuesdays, 6pm"
,Q,Roy Wilkins Recreation Center,,10/31/2023 08:00:00 PM,25,11,Roy Wilkins' Learn To Swim: Children - Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,,09/14/2023 11:00:00 PM,12,9,"Flushing Meadows Aquatics Center-Children's Learn to Swim (Thursday,7pm)"
,Q,Fisher Pool,Tot,07/13/2023 03:00:00 PM,10,5,Session l Tots Learn to Swim Fisher Pool Class A
,M,Asser Levy Recreation Center,,04/12/2023 05:00:00 PM,30,8,Holiday Learn to Swim Asser Levy Class B
3,R,Lyons Pool,Tot,08/15/2024 03:00:00 PM,25,12,Session 3: Lyons Pool - Tots Learn to Swim (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,02/17/2024 03:00:00 PM,9,8,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Saturdays, 10am"
,M,Constance Baker Motley Recreation Center,Level 2,10/29/2022 01:30:00 PM,22,18,Constance Baker Motley Saturday Children Learn to Swim Level 2
,M,Constance Baker Motley Recreation Center,Level 2,02/04/2023 02:30:00 PM,11,7,Constance Baker Motley Saturday Children Learn to Swim Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,05/28/2024 08:00:00 PM,18,16,"Flushing Meadows Aquatic Center Children Learn to Swim:  Intermediate Level 3 - Tuesdays, 4pm"
,B,St. John's Recreation Center,Level 2,06/11/2022 02:00:00 PM,15,9,St. John's Learn to Swim Level 2
,B,Metropolitan Pool & Recreation Center,Level 2,11/18/2023 03:00:00 PM,37,22,Metropolitan Learn to Swim: Children Level 2
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,10/21/2023 01:00:00 PM,11,6,"Learn to Swim: Children Intermediate Level 3 - Saturdays, 9am"
,M,Asser Levy Recreation Center,,02/24/2023 05:00:00 PM,17,7,Holiday Learn to Swim Asser Levy Class A
2,R,Lyons Pool,Level 1,08/08/2024 06:00:00 PM,,6,Session 2: Lyons Pool - Children's Learn to Swim Level 1 (Class B)
,M,Constance Baker Motley Recreation Center,,05/23/2024 08:00:00 PM,26,2,Constance Baker Motley Learn to Swim: Children - Thursday
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/17/2023 05:15:00 PM,8,1,Learn to Swim: Adult Beginner Level 1 - Saturdays
1,R,Lyons Pool,Level 1,07/09/2024 05:00:00 PM,5,4,Session 1: Lyons Pool - Children's Learn to Swim Level 1 (Class A)
,B,Metropolitan Pool & Recreation Center,,04/17/2024 08:00:00 PM,41,26,Metropolitan Children Learn to Swim: Wednesdays
,B,St. John's Recreation Center,Level 2,05/04/2024 02:30:00 PM,32,5,St. John's Learn to Swim: Saturdays Children Level 2
,M,Constance Baker Motley Recreation Center,Tot,12/03/2022 04:30:00 PM,21,4,Constance Baker Motley Learn to Swim: Tots - Saturdays
,Q,Roy Wilkins Recreation Center,,01/11/2024 02:00:00 PM,21,17,Roy Wilkins Senior Learn To Swim - Thursday (Beginner)
,M,Chelsea Recreation Center,Seniors,12/08/2022 07:30:00 PM,7,7,Chelsea Learn to Swim: Seniors
,Q,Roy Wilkins Recreation Center,,01/26/2023 09:00:00 PM,24,12,Roy Wilkins' Learn To Swim: Children - Thursdays - ADMIN ONLY
,M,Asser Levy Recreation Center,Level 2,03/11/2023 02:30:00 PM,17,10,Asser Levy Saturday Children Learn to Swim Level 2
,B,Metropolitan Pool & Recreation Center,,12/19/2022 09:00:00 PM,27,9,Metropolitan Learn to Swim: Children - Mondays
,M,Asser Levy Recreation Center,,11/13/2024 09:00:00 PM,26,18,Asser Levy: Afterschool Learn to Swim
,Q,Roy Wilkins Recreation Center,,04/29/2024 02:00:00 PM,25,6,Holiday Learn to Swim Roy Wilkins Class A
,M,Gertrude Ederle Recreation Center,Seniors,06/13/2024 05:00:00 PM,16,5,Gertrude Ederle Learn to Swim: Seniors - Thursday
,B,Metropolitan Pool & Recreation Center,,12/30/2022 05:00:00 PM,19,6,Holiday Learn to Swim Metropolitan Class C
,M,Constance Baker Motley Recreation Center,Tot,05/27/2023 03:30:00 PM,10,10,Constance Baker Motley Learn to Swim: Tots - Saturdays
2,Q,Fisher Pool,Level 2,07/31/2024 03:00:00 PM,,11,Session 2: Fisher Pool - Children's Learn to Swim Level 2 (Class A)
,Q,Roy Wilkins Recreation Center,,04/24/2024 03:00:00 PM,26,17,Holiday Learn to Swim Roy Wilkins Class B
,B,Metropolitan Pool & Recreation Center,,04/24/2024 08:00:00 PM,40,18,Metropolitan Children Learn to Swim: Wednesdays
,Q,Roy Wilkins Recreation Center,Seniors,12/14/2023 02:00:00 PM,21,10,Roy Wilkins Seniors Learn To Swim (Beginner)
,Q,Roy Wilkins Recreation Center,Adult,06/24/2023 05:15:00 PM,30,21,Roy Wilkins Learn to Swim: Adults - Saturdays
3,B,Red Hook Pool,Tot,08/20/2024 03:00:00 PM,,5,Session 3: Red Hook Pool - Tots Learn to Swim (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,,08/24/2023 11:00:00 PM,12,7,"Flushing Meadows Aquatics Center-Children's Learn to Swim (Thursday,7pm)"
,M,Asser Levy Recreation Center,Level 1,11/19/2022 03:30:00 PM,16,15,Asser Levy Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,07/26/2023 11:00:00 PM,11,7,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 (Wednesdays,7pm)"
1,,Hamilton Fish Pool,Level 1,07/19/2024 06:00:00 PM,,18,Session 1: Hamilton Fish Pool - Children's Learn to Swim Level 1 (Class B)
,B,St. John's Recreation Center,,04/24/2023 08:00:00 PM,17,12,St. John's Learn to Swim: Children - Mondays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,02/19/2024 09:00:00 PM,15,13,"Learn to Swim: Children Intermediate Level 3 - Mondays, 4pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,07/31/2024 10:00:00 PM,22,15,FMAC: Children's Learn to Swim (Level 1)
,B,St. John's Recreation Center,Level 2,01/13/2024 03:30:00 PM,20,14,St. John's Learn to Swim: Children Level 2
3,X,Crotona Pool,Tot,08/14/2023 03:00:00 PM,20,12,Session 3: Crotona Pool - Tots Learn to Swim (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,01/27/2024 02:00:00 PM,9,6,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Saturdays, 9am"
,M,Constance Baker Motley Recreation Center,Adult,01/06/2024 05:00:00 PM,21,11,Constance Baker Motley Learn to Swim: Adults - Saturday
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,12/19/2023 11:00:00 PM,15,10,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 2 - Tuesdays, 6pm"
,X,St. Mary's Recreation Center,Tot,03/19/2022 04:30:00 PM,3,3,St. Mary's Learn to Swim:Tots
,B,Metropolitan Pool & Recreation Center,,03/27/2023 08:00:00 PM,32,18,Metropolitan Learn to Swim: Children - Mondays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,03/11/2024 11:00:00 PM,8,5,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 7pm"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,11/27/2023 09:00:00 PM,15,10,"Learn to Swim: Children Intermediate Level 3 - Mondays, 4pm"
,B,St. John's Recreation Center,Level 2,04/15/2023 02:30:00 PM,30,19,St. Johns Saturday Children Learn to Swim Level 2
,M,Constance Baker Motley Recreation Center,Level 1,01/06/2024 03:30:00 PM,20,11,Constance Baker Motley Saturday Children Learn to Swim Level 1
,M,Constance Baker Motley Recreation Center,,12/10/2022 05:00:00 PM,47,43,Constance Baker Motley Learn to Swim: Children - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,05/31/2023 10:00:00 PM,10,10,"Learn to Swim: Children Beginner Level 1 - Wednesdays, 6pm"
,Q,Roy Wilkins Recreation Center,,01/24/2023 09:00:00 PM,25,15,Roy Wilkins' Learn To Swim: Children - Tuesdays
3,X,Crotona Pool,Level 1,08/09/2023 05:00:00 PM,48,29,Session 3: Crotona Pool - Children's Learn to Swim Level 1 (Class A)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,05/23/2023 04:00:00 PM,8,2,Learn to Swim: Senior Beginner Level 1 Tuesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,03/18/2024 10:00:00 PM,6,5,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 6pm"
1,,Astoria Pool,Level 1,07/22/2024 05:00:00 PM,,11,Session 1: Astoria Pool - Children's Learn to Swim Level 1 (Class A)
,B,St. John's Recreation Center,Seniors,03/23/2023 01:00:00 PM,20,13,St. Johns Learn to Swim: Seniors
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,06/29/2023 05:00:00 PM,8,7,Learn to Swim: Adult Advanced Beginner Level 2 - Thursdays
,M,Asser Levy Recreation Center,Tot,04/29/2023 03:30:00 PM,15,9,Asser Levy Learn to Swim: Tots - Saturdays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/12/2024 06:00:00 PM,22,11,FMAC: Adult Learn to Swim (Level 1)
2,Q,Fisher Pool,Level 1,07/26/2024 05:00:00 PM,19,16,Session 2: Fisher Pool - Children's Learn to Swim Level 1 (Class A)
,M,Constance Baker Motley Recreation Center,Tot,05/20/2023 03:30:00 PM,10,6,Constance Baker Motley Learn to Swim: Tots - Saturdays
,B,St. John's Recreation Center,,05/01/2023 08:00:00 PM,15,10,St. John's Learn to Swim: Children - Mondays
,Q,Roy Wilkins Recreation Center,,06/14/2024 06:30:00 PM,25,10,Roy Wilkins Senior Learn To Swim - Friday (Beginner)
,M,Chelsea Recreation Center,,11/13/2023 09:00:00 PM,25,18,Chelsea Learn to Swim: Children - Mondays
,B,Metropolitan Pool & Recreation Center,Level 1,08/31/2023 07:15:00 PM,32,9,Metropolitan Recreation Center - Children's Learn to Swim Level 1 (Thursdays)
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,11/21/2023 06:00:00 PM,15,5,Flushing Meadows Aquatic Center Adult Learn to Swim Level 1 - Tuesdays
,B,St. John's Recreation Center,Adult,11/18/2023 06:00:00 PM,31,31,St. John's Learn to Swim: Adults
,Q,Roy Wilkins Recreation Center,Tot,02/12/2022 06:30:00 PM,8,2,Roy Wilkins Learn to Swim: Tots
,B,St. John's Recreation Center,,04/08/2024 08:00:00 PM,32,10,St. John's Learn to Swim: Children - Mondays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,08/08/2023 05:00:00 PM,6,5,Flushing Meadows Aquatics Center- Senior Learn to Swim Level 1 Tuesdays 1pm
,B,St. John's Recreation Center,Adult,04/29/2023 05:15:00 PM,29,16,St. John's Learn to Swim: Adults - Saturdays
,R,Lyons Pool,Level 3,08/30/2024 04:00:00 PM,16,15,Advanced: Lyons Pool - Children's Learn to Swim Level 3 (Class B)
,Q,Roy Wilkins Recreation Center,Tot,02/11/2023 05:30:00 PM,18,6,Roy Wilkins Learn to Swim: Tots - Saturdays - ADMIN ONLY
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,09/16/2023 05:15:00 PM,13,9,"Flushing Meadows Aquatics Center - Adult Learn to Swim Level 1 (Saturdays, 1:15pm)"
,M,Chelsea Recreation Center,,11/23/2022 09:00:00 PM,16,7,Chelsea Learn to Swim: Children - Wednesdays
,Q,Flushing Meadows Corona Park Aquatics Center,Adult,05/30/2024 05:00:00 PM,15,4,Flushing Meadows Aquatic Center Adult Learn to Swim Level 2 - Thursdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,05/13/2023 03:00:00 PM,10,9,"Learn to Swim: Children ADV. Beginner Level 2 - Saturdays, 11am"
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,02/17/2024 07:00:00 PM,6,4,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 3 - Saturdays, 2pm"
,B,Red Hook Pool,Tot,08/01/2023 04:00:00 PM,20,13,Session ll Tots Learn to Swim Red Hook Pool Class B
,M,Constance Baker Motley Recreation Center,Seniors,11/09/2023 07:30:00 PM,5,4,Constance Baker Motley Learn to Swim: Seniors
,M,Gertrude Ederle Recreation Center,,10/19/2023 08:00:00 PM,25,22,Gertrude Ederle Learn to Swim: Children - Thursdays
,Q,Flushing Meadows Corona Park Aquatics Center,Level 2,11/14/2024 11:00:00 PM,7,7,FMAC: Children's Learn to Swim (Level 2)
,M,Wagner College,Level 1,05/06/2023 09:00:00 PM,25,14,Wagner College Saturday Children Learn to Swim Level 1
,Q,Flushing Meadows Corona Park Aquatics Center,Level 1,02/12/2024 11:00:00 PM,9,4,"Flushing Meadows Aquatics Center- Children's Learn to Swim Level 1 - Mondays, 6pm"
1,X,Crotona Pool,Level 2,07/11/2024 12:00:00 PM,,10,Session 1: Crotona Pool - Children's Learn to Swim Level 2 (Class B)
,Q,Flushing Meadows Corona Park Aquatics Center,Level 3,11/09/2023 09:00:00 PM,13,13,"Learn to Swim: Children Intermediate Level 3 - Thursdays, 4pm"
